run_index,seed,topology,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,contagion_containment,contagion_initial_failures,contagion_secondary_failures,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
68,109,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
69,110,scale-free,True,True,0.995,1.0,1.0,0,1,0.0,3,0,0.0,none,0,0,0
70,111,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
71,112,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
72,113,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
73,114,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
74,115,scale-free,True,True,0.995,1.0,1.0,0,1,0.5,2,1,0.0,none,0,0,0
75,116,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
76,117,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
77,118,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
78,119,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
79,120,scale-free,True,True,0.98,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
80,121,scale-free,True,True,0.98,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
81,122,scale-free,True,True,0.991,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
82,123,scale-free,True,True,0.992,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
83,124,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
84,125,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
85,126,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
86,127,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,3,0,0.0,none,0,0,0
87,128,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
88,129,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
89,130,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
90,131,scale-free,True,True,0.979,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
91,132,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
92,133,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,2,0,0.0,none,0,0,0
93,134,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
94,135,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
95,136,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
96,137,scale-free,True,True,0.999,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
97,138,scale-free,True,True,0.993,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
98,139,scale-free,True,True,0.996,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
99,140,scale-free,True,True,1.0,1.0,1.0,0,1,0.0,1,0,0.0,none,0,0,0
100,141,scale-free,True,True,0.979,1.0,1.0,0,1,0.0,0,0,0.0,none,0,0,0
