topology,node_count,k_D,k_C,k_T,activation_threshold,propagation_exponent,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.03,0.0,0.25,2.0,0.076,100,200,49.0,0.03,0.0,11.68,13.54,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:2|network_wide:98,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.077,100,200,49.0,0.03,0.0,11.69,13.54,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:3|network_wide:97,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.078,100,200,49.0,0.03,0.0,11.71,13.54,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:3|network_wide:97,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.079,100,200,49.0,0.03,0.0,12.33,13.56,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|48|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:3|network_wide:97,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.08,100,200,49.0,0.0,0.0,12.36,14.35,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,core_weighted:18|network_wide:82,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.081,100,200,49.0,0.01,0.0,12.57,14.29,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,core_weighted:17|network_wide:83,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.082,100,200,49.0,0.01,0.0,13.43,14.44,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,core_weighted:14|network_wide:86,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.083,100,200,49.0,0.0,0.0,13.9,14.75,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|46|33|32|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|46|33|32|49|48|49|48|47|46|45,core_weighted:15|network_wide:85,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.084,100,200,49.0,0.0,0.0,14.26,14.81,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|49|48|47|46|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|49|48|47|46|45,core_weighted:15|network_wide:85,expands_far
chain,50,0.01,0.03,0.0,0.25,2.0,0.085,100,200,49.0,0.0,0.0,19.19,14.85,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|42|41|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|44|45,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|42|41|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|44|45,core_weighted:15|network_wide:85,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.076,100,200,49.0,0.03,0.0,11.02,13.77,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.077,100,200,49.0,0.03,0.0,11.04,13.77,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.078,100,200,49.0,0.02,0.0,11.05,13.86,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|35|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|35|46|45|44|49|48|49|48|47|46|45,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.079,100,200,49.0,0.01,0.0,12.48,14.14,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|44|49|48|47|48|47|46|43,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|44|49|48|47|48|47|46|43,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.08,100,200,49.0,0.02,0.0,12.86,14.25,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|47|48|47|46|43,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|47|48|47|46|43,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.081,100,200,49.0,0.02,0.0,12.95,14.33,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|46|45|32|49|48|47|48|47|46|43,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|46|45|32|49|48|47|48|47|46|43,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.082,100,200,49.0,0.0,0.0,14.37,14.64,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|46|43,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|46|43,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.083,100,200,49.0,0.0,0.0,14.23,14.69,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|46|43,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|46|43,hub_localized:100,expands_far
star,50,0.01,0.02,0.0,0.25,2.0,0.084,100,200,49.0,0.0,0.0,14.47,14.66,49,46|46|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|46|43,46|46|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|48|47|46|43,hub_localized:100,expands_far
