topology,chain_length,k_D,k_C,k_T,activation_threshold,deactivation_threshold,propagation_exponent,neighbor_feedback_strength,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,24,66,0.0,0.20408163265306123,47,20,3,1,47,1|2|4|1|9|5|16|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,25,67,0.0,0.1836734693877551,46,20,1,0,46,2|4|1|9|5|16|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,26,68,0.0,0.1836734693877551,45,20,1,0,45,1|4|1|9|5|16|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,27,69,0.0,0.1836734693877551,44,20,1,0,44,1|4|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,28,70,0.0,0.1836734693877551,49,20,1,0,49,4|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,29,71,0.0,0.20408163265306123,49,20,3,1,49,3|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,30,72,0.0,0.20408163265306123,48,20,1,1,48,2|1|9|5|16|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,31,73,0.0,0.20408163265306123,47,20,3,1,47,2|1|9|5|16|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,32,74,0.0,0.1836734693877551,46,20,1,0,46,1|9|5|16|6|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,33,75,0.0,0.1836734693877551,45,20,1,0,45,1|9|5|16|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,34,76,0.0,0.1836734693877551,44,20,1,0,44,9|5|16|5|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,35,77,0.0,0.16326530612244897,43,20,1,0,43,9|5|16|5|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,36,78,0.0,0.16326530612244897,42,20,1,0,42,8|5|16|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,37,79,0.0,0.1836734693877551,49,20,1,0,49,8|5|16|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,38,80,0.0,0.1836734693877551,48,20,4,0,48,6|5|16|5|7|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,39,81,0.0,0.1836734693877551,47,20,1,0,47,5|5|16|5|7|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,40,82,0.0,0.1836734693877551,46,20,3,0,46,4|5|16|5|7|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,41,83,0.0,0.1836734693877551,45,20,1,0,45,4|5|16|5|7|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,42,84,0.0,0.1836734693877551,44,20,3,0,44,2|5|16|5|7|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,43,85,0.0,0.1836734693877551,43,20,1,0,43,1|5|16|5|7|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,44,86,0.0,0.1836734693877551,42,20,3,0,42,1|5|16|5|7|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,45,87,0.0,0.16326530612244897,41,20,1,0,41,5|16|5|7|8,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,46,88,0.0,0.14285714285714285,40,9,4,0,40,5|16|5|7|9,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,47,89,0.0,0.12244897959183673,39,9,3,0,39,5|16|5|7|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,48,90,0.0,0.14285714285714285,49,9,1,0,49,4|16|5|7|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.06,49,91,0.0,0.14285714285714285,48,9,1,0,48,3|16|5|7|10|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,0,42,0.0,0.24489795918367346,47,19,4,1,47,3|4|5|1|2|4|2|4|1|9|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,1,43,0.0,0.2653061224489796,46,19,5,1,46,2|3|5|1|2|4|2|4|1|9|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,2,44,0.0,0.2653061224489796,45,19,4,1,45,2|3|5|1|2|4|2|4|1|9|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,3,45,0.0,0.2653061224489796,44,19,4,1,44,1|3|5|1|2|4|2|4|1|9|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,4,46,0.0,0.2653061224489796,49,19,4,1,49,3|5|1|2|4|2|4|1|9|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,5,47,0.0,0.24489795918367346,48,19,5,1,48,3|5|1|2|4|2|4|1|9|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,6,48,0.0,0.24489795918367346,47,19,4,1,47,3|5|1|2|4|2|4|1|9|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,7,49,0.0,0.24489795918367346,46,19,5,1,46,1|5|1|2|4|2|4|1|9|5|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,8,50,0.0,0.24489795918367346,45,19,5,1,45,1|5|1|2|4|2|4|1|9|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,9,51,0.0,0.22448979591836735,44,19,5,1,44,5|1|2|4|2|4|1|9|5|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,10,52,0.0,0.22448979591836735,43,19,6,1,43,4|1|2|4|2|4|1|9|5|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,11,53,0.0,0.22448979591836735,42,19,5,1,42,3|1|2|4|2|4|1|9|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,12,54,0.0,0.22448979591836735,41,19,5,1,41,3|1|2|4|2|4|1|9|5|8,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,13,55,0.0,0.22448979591836735,40,19,5,1,40,1|1|2|4|2|4|1|9|5|9,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,14,56,0.0,0.22448979591836735,39,19,5,1,39,1|1|2|4|2|4|1|9|5|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,15,57,0.0,0.20408163265306123,38,19,16,1,38,1|2|4|2|4|1|9|5|11,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,16,58,0.0,0.20408163265306123,37,19,15,1,37,1|2|4|2|4|1|9|5|12,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,17,59,0.0,0.1836734693877551,36,19,16,0,36,2|4|2|4|1|9|5|13,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,18,60,0.0,0.1836734693877551,35,19,16,0,35,2|4|2|4|1|9|5|14,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,19,61,0.0,0.1836734693877551,34,19,15,0,34,1|4|2|4|1|9|5|15,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,20,62,0.0,0.16326530612244897,33,19,16,0,33,4|2|4|1|9|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,21,63,0.0,0.1836734693877551,49,19,16,0,49,4|2|4|1|9|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,22,64,0.0,0.20408163265306123,49,19,1,1,49,3|2|4|1|9|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,23,65,0.0,0.20408163265306123,48,19,3,1,48,2|2|4|1|9|5|16|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,24,66,0.0,0.20408163265306123,47,19,3,1,47,1|2|4|1|9|5|16|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,25,67,0.0,0.1836734693877551,46,19,1,0,46,2|4|1|9|5|16|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,26,68,0.0,0.1836734693877551,45,19,1,0,45,1|4|1|9|5|16|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,27,69,0.0,0.1836734693877551,44,19,1,0,44,1|4|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,28,70,0.0,0.16326530612244897,43,19,1,0,43,4|1|9|5|16|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,29,71,0.0,0.20408163265306123,49,19,3,1,49,3|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,30,72,0.0,0.20408163265306123,48,19,1,1,48,2|1|9|5|16|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,31,73,0.0,0.20408163265306123,47,19,3,1,47,2|1|9|5|16|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,32,74,0.0,0.1836734693877551,46,19,1,0,46,1|9|5|16|6|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,33,75,0.0,0.1836734693877551,45,19,1,0,45,1|9|5|16|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,34,76,0.0,0.1836734693877551,44,19,1,0,44,9|5|16|5|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,35,77,0.0,0.16326530612244897,43,19,1,0,43,9|5|16|5|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,36,78,0.0,0.16326530612244897,42,19,1,0,42,8|5|16|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,37,79,0.0,0.1836734693877551,49,19,1,0,49,8|5|16|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,38,80,0.0,0.1836734693877551,48,19,4,0,48,6|5|16|5|7|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,39,81,0.0,0.1836734693877551,47,19,1,0,47,5|5|16|5|7|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,40,82,0.0,0.1836734693877551,46,19,3,0,46,4|5|16|5|7|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,41,83,0.0,0.1836734693877551,45,19,1,0,45,4|5|16|5|7|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,42,84,0.0,0.1836734693877551,44,19,3,0,44,2|5|16|5|7|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,43,85,0.0,0.1836734693877551,43,19,1,0,43,1|5|16|5|7|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,44,86,0.0,0.1836734693877551,42,19,3,0,42,1|5|16|5|7|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,45,87,0.0,0.16326530612244897,41,19,1,0,41,5|16|5|7|8,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,46,88,0.0,0.14285714285714285,40,10,4,0,40,5|16|5|7|9,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,47,89,0.0,0.12244897959183673,39,10,3,0,39,5|16|5|7|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,48,90,0.0,0.14285714285714285,49,10,1,0,49,4|16|5|7|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.062,49,91,0.0,0.14285714285714285,48,10,1,0,48,3|16|5|7|10|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,0,42,0.0,0.20408163265306123,47,19,4,1,47,3|4|5|1|7|2|4|1|10|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,1,43,0.0,0.22448979591836735,46,19,5,1,46,2|3|5|1|7|2|4|1|10|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,2,44,0.0,0.22448979591836735,45,19,4,1,45,2|3|5|1|7|2|4|1|10|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,3,45,0.0,0.22448979591836735,44,19,4,1,44,1|3|5|1|7|2|4|1|10|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,4,46,0.0,0.22448979591836735,49,19,4,1,49,3|5|1|7|2|4|1|10|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,5,47,0.0,0.20408163265306123,48,19,5,1,48,3|5|1|7|2|4|1|10|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,6,48,0.0,0.20408163265306123,47,19,4,1,47,3|5|1|7|2|4|1|10|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,7,49,0.0,0.20408163265306123,46,19,5,1,46,1|5|1|7|2|4|1|10|5|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,8,50,0.0,0.20408163265306123,45,19,5,1,45,1|5|1|7|2|4|1|10|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,9,51,0.0,0.1836734693877551,44,19,5,0,44,5|1|7|2|4|1|10|5|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,10,52,0.0,0.1836734693877551,43,19,6,0,43,4|1|7|2|4|1|10|5|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,11,53,0.0,0.1836734693877551,42,19,5,0,42,3|1|7|2|4|1|10|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,12,54,0.0,0.1836734693877551,41,19,6,0,41,3|1|7|2|4|1|10|5|8,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,13,55,0.0,0.1836734693877551,40,19,5,0,40,1|1|7|2|4|1|10|5|9,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,14,56,0.0,0.1836734693877551,39,19,5,0,39,1|1|7|2|4|1|10|5|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,15,57,0.0,0.16326530612244897,38,19,16,0,38,1|7|2|4|1|10|5|11,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,16,58,0.0,0.16326530612244897,37,19,16,0,37,1|7|2|4|1|10|5|12,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,17,59,0.0,0.14285714285714285,36,19,16,0,36,7|2|4|1|10|5|13,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,18,60,0.0,0.14285714285714285,35,19,16,0,35,7|2|4|1|10|5|14,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,19,61,0.0,0.14285714285714285,34,19,16,0,34,6|2|4|1|10|5|15,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,20,62,0.0,0.14285714285714285,33,19,16,0,33,5|2|4|1|10|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,21,63,0.0,0.16326530612244897,49,19,16,0,49,4|2|4|1|10|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,22,64,0.0,0.1836734693877551,49,19,1,0,49,3|2|4|1|10|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,23,65,0.0,0.1836734693877551,48,19,3,0,48,2|2|4|1|10|5|16|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,24,66,0.0,0.1836734693877551,47,19,3,0,47,1|2|4|1|10|5|16|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,25,67,0.0,0.16326530612244897,46,19,1,0,46,2|4|1|10|5|16|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,26,68,0.0,0.16326530612244897,45,19,1,0,45,1|4|1|10|5|16|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,27,69,0.0,0.16326530612244897,44,19,1,0,44,1|4|1|10|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,28,70,0.0,0.14285714285714285,43,19,1,0,43,4|1|10|5|16|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,29,71,0.0,0.1836734693877551,49,19,3,0,49,3|1|10|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,30,72,0.0,0.1836734693877551,48,19,1,0,48,2|1|10|5|16|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,31,73,0.0,0.1836734693877551,47,19,3,0,47,2|1|10|5|16|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,32,74,0.0,0.16326530612244897,46,19,1,0,46,1|10|5|16|6|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,33,75,0.0,0.16326530612244897,45,19,1,0,45,1|10|5|16|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,34,76,0.0,0.16326530612244897,44,19,1,0,44,10|5|16|5|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,35,77,0.0,0.14285714285714285,43,19,1,0,43,10|5|16|5|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,36,78,0.0,0.14285714285714285,42,19,1,0,42,9|5|16|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,37,79,0.0,0.16326530612244897,49,19,1,0,49,9|5|16|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,38,80,0.0,0.16326530612244897,48,19,4,0,48,7|5|16|5|7|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,39,81,0.0,0.16326530612244897,47,19,1,0,47,6|5|16|5|7|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,40,82,0.0,0.16326530612244897,46,19,3,0,46,5|5|16|5|7|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,41,83,0.0,0.16326530612244897,45,19,1,0,45,5|5|16|5|7|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,42,84,0.0,0.16326530612244897,44,19,3,0,44,3|5|16|5|7|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,43,85,0.0,0.16326530612244897,43,19,1,0,43,2|5|16|5|7|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,44,86,0.0,0.16326530612244897,42,19,3,0,42,2|5|16|5|7|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,45,87,0.0,0.16326530612244897,41,19,1,0,41,5|16|5|7|8,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,46,88,0.0,0.14285714285714285,40,10,4,0,40,5|16|5|7|9,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,47,89,0.0,0.12244897959183673,39,10,3,0,39,5|16|5|7|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,48,90,0.0,0.14285714285714285,49,10,1,0,49,4|16|5|7|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.064,49,91,0.0,0.14285714285714285,48,10,1,0,48,3|16|5|7|10|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,0,42,0.0,0.24489795918367346,47,19,4,1,47,3|3|5|1|7|2|4|1|9|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,1,43,0.0,0.24489795918367346,46,19,5,1,46,2|3|5|1|7|2|4|1|9|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,2,44,0.0,0.24489795918367346,45,19,4,1,45,2|3|5|1|7|2|4|1|9|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,3,45,0.0,0.24489795918367346,44,19,4,1,44,1|3|5|1|7|2|4|1|9|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,4,46,0.0,0.24489795918367346,49,19,4,1,49,3|5|1|7|2|4|1|9|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,5,47,0.0,0.22448979591836735,48,19,5,1,48,3|5|1|7|2|4|1|9|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,6,48,0.0,0.22448979591836735,47,19,4,1,47,3|5|1|7|2|4|1|9|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,7,49,0.0,0.22448979591836735,46,19,5,1,46,1|5|1|7|2|4|1|9|5|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,8,50,0.0,0.22448979591836735,45,19,5,1,45,1|5|1|7|2|4|1|9|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,9,51,0.0,0.20408163265306123,44,19,5,1,44,5|1|7|2|4|1|9|5|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,10,52,0.0,0.20408163265306123,43,19,6,1,43,4|1|7|2|4|1|9|5|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,11,53,0.0,0.20408163265306123,42,19,5,1,42,3|1|7|2|4|1|9|5|7,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,12,54,0.0,0.20408163265306123,41,19,6,1,41,3|1|7|2|4|1|9|5|8,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,13,55,0.0,0.20408163265306123,40,19,5,1,40,1|1|7|2|4|1|9|5|9,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,14,56,0.0,0.20408163265306123,39,19,5,1,39,1|1|7|2|4|1|9|5|10,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,15,57,0.0,0.1836734693877551,38,19,16,0,38,1|7|2|4|1|9|5|11,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,16,58,0.0,0.1836734693877551,37,19,16,0,37,1|7|2|4|1|9|5|12,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,17,59,0.0,0.16326530612244897,36,19,16,0,36,7|2|4|1|9|5|13,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,18,60,0.0,0.16326530612244897,35,19,16,0,35,7|2|4|1|9|5|14,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,19,61,0.0,0.16326530612244897,34,19,16,0,34,6|2|4|1|9|5|15,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,20,62,0.0,0.16326530612244897,33,19,16,0,33,5|2|4|1|9|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,21,63,0.0,0.1836734693877551,49,19,16,0,49,4|2|4|1|9|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,22,64,0.0,0.20408163265306123,49,19,1,1,49,3|2|4|1|9|5|16,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,23,65,0.0,0.20408163265306123,48,19,3,1,48,2|2|4|1|9|5|16|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,24,66,0.0,0.20408163265306123,47,19,3,1,47,1|2|4|1|9|5|16|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,25,67,0.0,0.1836734693877551,46,19,1,0,46,2|4|1|9|5|16|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,26,68,0.0,0.1836734693877551,45,19,1,0,45,1|4|1|9|5|16|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,27,69,0.0,0.1836734693877551,44,19,1,0,44,1|4|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,28,70,0.0,0.16326530612244897,43,19,1,0,43,4|1|9|5|16|6,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,29,71,0.0,0.20408163265306123,49,19,3,1,49,3|1|9|5|16|5,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,30,72,0.0,0.20408163265306123,48,19,1,1,48,2|1|9|5|16|5|1,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,31,73,0.0,0.20408163265306123,47,19,3,1,47,2|1|9|5|16|5|2,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,32,74,0.0,0.1836734693877551,46,19,1,0,46,1|9|5|16|6|3,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,33,75,0.0,0.1836734693877551,45,19,1,0,45,1|9|5|16|5|4,network_wide,49
chain,50,0.01,0.03,0.0,0.2,0.1,3.0,0.3,0.066,34,76,0.0,0.1836734693877551,44,19,1,0,44,9|5|16|5|5,network_wide,49
