topology,chain_length,k_D,k_C,k_T,activation_threshold,deactivation_threshold,propagation_exponent,neighbor_feedback_strength,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.092,45,87,0.0,0.08163265306122448,41,8,1,0,41,1|6|17|14|8,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.092,46,88,0.0,0.04081632653061224,40,5,113,0,40,6|32|9,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.092,47,89,0.0,0.061224489795918366,39,5,3,0,39,5|17|14|10,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.092,48,90,0.0,0.08163265306122448,49,8,1,0,49,4|17|14|10,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.092,49,91,0.0,0.08163265306122448,48,8,1,0,48,4|17|14|10|1,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,0,42,0.0,0.12244897959183673,46,8,5,0,46,3|10|12|4|1|10|3,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,1,43,0.0,0.10204081632653061,45,8,45,0,45,2|23|4|1|10|4,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,2,44,0.0,0.12244897959183673,44,8,5,0,44,2|10|12|4|1|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,3,45,0.0,0.12244897959183673,43,8,5,0,43,1|10|12|4|1|10|6,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,4,46,0.0,0.12244897959183673,49,8,5,0,49,10|12|4|1|10|6,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,5,47,0.0,0.10204081632653061,48,8,102,0,48,22|4|1|10|6|1,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,6,48,0.0,0.12244897959183673,47,8,5,0,47,9|12|4|1|10|6|2,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,7,49,0.0,0.12244897959183673,46,8,6,0,46,7|12|4|1|10|6|3,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,8,50,0.0,0.12244897959183673,45,8,6,0,45,7|12|4|1|10|6|4,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,9,51,0.0,0.10204081632653061,44,8,102,0,44,18|4|1|10|6|5,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,10,52,0.0,0.10204081632653061,43,8,102,0,43,17|4|1|10|6|6,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,11,53,0.0,0.12244897959183673,42,8,6,0,42,3|12|4|1|10|6|7,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,12,54,0.0,0.10204081632653061,41,8,102,0,41,16|4|1|10|6|8,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,13,55,0.0,0.10204081632653061,40,8,102,0,40,14|4|1|10|6|9,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,14,56,0.0,0.10204081632653061,39,8,102,0,39,14|4|1|10|6|10,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,15,57,0.0,0.10204081632653061,38,8,102,0,38,12|4|1|10|6|11,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,16,58,0.0,0.10204081632653061,37,8,102,0,37,12|4|1|10|6|12,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,17,59,0.0,0.10204081632653061,36,8,102,0,36,10|4|1|10|6|13,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,18,60,0.0,0.10204081632653061,35,8,102,0,35,10|4|1|10|6|14,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,19,61,0.0,0.10204081632653061,34,8,102,0,34,9|4|1|10|6|15,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,20,62,0.0,0.10204081632653061,33,8,102,0,33,8|4|1|10|6|16,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,21,63,0.0,0.10204081632653061,32,8,102,0,32,7|4|1|10|6|17,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,22,64,0.0,0.12244897959183673,49,8,1,0,49,6|4|1|10|6|17,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,23,65,0.0,0.12244897959183673,48,8,4,0,48,5|4|1|10|6|17|1,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,24,66,0.0,0.12244897959183673,47,8,4,0,47,4|4|1|10|6|17|2,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,25,67,0.0,0.12244897959183673,46,8,1,0,46,2|4|1|10|6|17|3,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,26,68,0.0,0.12244897959183673,45,8,1,0,45,1|4|1|10|6|17|4,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,27,69,0.0,0.12244897959183673,44,8,1,0,44,1|4|1|10|6|17|5,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,28,70,0.0,0.10204081632653061,43,8,1,0,43,4|1|10|6|17|6,core_weighted,49
