topology,chain_length,k_D,k_C,k_T,run_index,seed,failure_rate,cascade_depth,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
star,50,0.01,0.03,0.0,5,47,0.06,48,4,1,48,1|1|1|2|1|1|1|1|1|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,6,48,0.04,47,4,1,47,1|1|1|2|1|1|1|1|2|1|2,hub_localized,49
star,50,0.01,0.03,0.0,7,49,0.02,46,4,1,46,1|1|1|1|1|2|1|1|1|1|1|1|1|3,hub_localized,49
star,50,0.01,0.03,0.0,8,50,0.04,49,4,1,49,1|1|1|2|1|1|1|1|1|1|3,hub_localized,49
star,50,0.01,0.03,0.0,9,51,0.04,49,4,1,49,1|1|1|1|2|1|1|1|1|1|1|3,hub_localized,49
star,50,0.01,0.03,0.0,10,52,0.04,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,hub_localized,49
star,50,0.01,0.03,0.0,11,53,0.04,49,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,49
star,50,0.01,0.03,0.0,12,54,0.06,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1,hub_localized,49
star,50,0.01,0.03,0.0,13,55,0.04,49,4,1,49,1|1|1|2|1|1|1|1|1|1|3|2,hub_localized,49
star,50,0.01,0.03,0.0,14,56,0.06,48,4,1,48,1|1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,15,57,0.04,49,5,1,49,1|1|1|2|1|1|1|1|2|1|3|1|1,hub_localized,49
star,50,0.01,0.03,0.0,16,58,0.02,49,4,1,49,1|2|1|1|1|1|1|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,17,59,0.06,49,7,1,49,2|1|1|1|1|1|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,18,60,0.04,49,7,1,49,1|2|1|1|1|1|1|1|3|1|1|1,hub_localized,49
star,50,0.01,0.03,0.0,19,61,0.06,48,6,1,48,1|2|1|1|1|1|1|1|1|3|1|1|1,hub_localized,49
random-sparse,50,0.01,0.02,0.0,0,42,0.04,49,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2|1,network_wide,111
random-sparse,50,0.01,0.02,0.0,1,43,0.02,48,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,125
random-sparse,50,0.01,0.02,0.0,2,44,0.02,49,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,133
random-sparse,50,0.01,0.02,0.0,3,45,0.04,49,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2|1,network_wide,120
random-sparse,50,0.01,0.02,0.0,4,46,0.02,49,4,1,49,2|1|1|1|1|2|1|1|1|1|2|1|1,network_wide,123
random-sparse,50,0.01,0.02,0.0,5,47,0.02,48,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1|1|1,network_wide,125
random-sparse,50,0.01,0.02,0.0,6,48,0.02,47,4,1,47,1|1|1|1|2|1|1|1|1|2|1|2,network_wide,111
random-sparse,50,0.01,0.02,0.0,7,49,0.04,46,4,1,46,1|1|1|1|1|2|1|1|1|1|2|1|3,network_wide,116
random-sparse,50,0.01,0.02,0.0,8,50,0.02,49,4,1,49,1|1|1|1|1|1|2|1|1|1|1|2|1|3,network_wide,110
random-sparse,50,0.01,0.02,0.0,9,51,0.04,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|1|3,network_wide,132
random-sparse,50,0.01,0.02,0.0,10,52,0.04,48,4,1,48,1|1|1|2|1|1|1|1|2|1|1|3|1,network_wide,127
random-sparse,50,0.01,0.02,0.0,11,53,0.04,49,4,1,49,1|1|1|2|1|1|1|1|2|1|3|1,network_wide,114
random-sparse,50,0.01,0.02,0.0,12,54,0.02,48,4,1,48,2|1|1|1|2|1|1|1|1|2|3|1|1,network_wide,128
random-sparse,50,0.01,0.02,0.0,13,55,0.02,49,4,1,49,1|1|1|2|1|1|1|1|2|1|1|3|1|1,network_wide,116
random-sparse,50,0.01,0.02,0.0,14,56,0.04,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,114
random-sparse,50,0.01,0.02,0.0,15,57,0.02,49,5,1,49,1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,119
random-sparse,50,0.01,0.02,0.0,16,58,0.02,48,4,1,48,1|2|1|1|1|1|2|1|3|1|1|1|1,network_wide,98
random-sparse,50,0.01,0.02,0.0,17,59,0.04,49,10,1,49,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,120
random-sparse,50,0.01,0.02,0.0,18,60,0.04,49,10,1,49,1|2|1|1|1|1|2|1|3|1|1|1|1,network_wide,106
random-sparse,50,0.01,0.02,0.0,19,61,0.04,48,6,1,48,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,110
random-sparse,50,0.01,0.03,0.0,0,42,0.02,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2,network_wide,111
random-sparse,50,0.01,0.03,0.0,1,43,0.02,48,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,network_wide,125
random-sparse,50,0.01,0.03,0.0,2,44,0.02,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,network_wide,133
random-sparse,50,0.01,0.03,0.0,3,45,0.02,49,4,1,49,1|2|1|1|1|2|1|1|1|1|2|1,network_wide,120
random-sparse,50,0.01,0.03,0.0,4,46,0.04,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,network_wide,123
random-sparse,50,0.01,0.03,0.0,5,47,0.04,48,4,1,48,1|1|1|1|1|2|1|1|1|1|2|1|1,network_wide,125
random-sparse,50,0.01,0.03,0.0,6,48,0.04,47,4,1,47,1|1|1|1|2|1|1|1|1|2|1|2,network_wide,111
random-sparse,50,0.01,0.03,0.0,7,49,0.06,46,4,1,46,1|1|1|2|1|1|1|1|2|1|3,network_wide,116
random-sparse,50,0.01,0.03,0.0,8,50,0.02,49,4,1,49,1|1|1|2|1|1|1|1|2|1|3,network_wide,110
random-sparse,50,0.01,0.03,0.0,9,51,0.02,49,4,1,49,1|1|1|1|1|1|1|1|2|1|3,network_wide,132
random-sparse,50,0.01,0.03,0.0,10,52,0.02,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,network_wide,127
random-sparse,50,0.01,0.03,0.0,11,53,0.04,49,4,1,49,1|1|1|1|1|1|1|1|2|1|3|1,network_wide,114
random-sparse,50,0.01,0.03,0.0,12,54,0.02,49,4,1,49,1|1|1|2|1|1|1|1|2|3|1,network_wide,128
random-sparse,50,0.01,0.03,0.0,13,55,0.02,49,4,1,49,1|1|2|1|1|1|1|2|1|3|1,network_wide,116
random-sparse,50,0.01,0.03,0.0,14,56,0.04,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,114
random-sparse,50,0.01,0.03,0.0,15,57,0.04,49,5,1,49,1|1|2|1|1|1|1|2|1|3|1,network_wide,119
random-sparse,50,0.01,0.03,0.0,16,58,0.02,48,4,1,48,1|1|2|1|1|1|1|2|1|3|1|1|1,network_wide,98
random-sparse,50,0.01,0.03,0.0,17,59,0.04,49,7,1,49,2|1|1|1|1|2|1|3|1,network_wide,120
random-sparse,50,0.01,0.03,0.0,18,60,0.04,49,7,1,49,2|1|1|1|1|2|1|3|1|1|1,network_wide,106
random-sparse,50,0.01,0.03,0.0,19,61,0.04,48,6,1,48,1|2|1|1|1|1|2|1|3|1|1|1,network_wide,110
fully-connected,50,0.01,0.02,0.0,0,42,0.04,49,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,1,43,0.02,48,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,2,44,0.02,49,4,1,49,1|1|1|2|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,3,45,0.04,49,4,1,49,1|2|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,4,46,0.02,49,4,1,49,2|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,5,47,0.02,48,4,1,48,1|1|1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,6,48,0.02,47,4,1,47,1|1|1|1|1|2|1|1|1|1|2|1|2,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,7,49,0.02,46,4,1,46,1|1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,8,50,0.02,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,9,51,0.02,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,10,52,0.04,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,11,53,0.04,49,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,12,54,0.02,49,4,1,49,1|1|1|2|1|1|1|1|2|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,13,55,0.04,49,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,14,56,0.04,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,15,57,0.02,49,5,1,49,1|2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,16,58,0.02,49,4,1,49,1|2|1|1|1|1|2|1|3|1|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,17,59,0.04,49,10,1,49,2|1|1|1|1|2|1|3|1|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,18,60,0.04,49,10,1,49,2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,19,61,0.04,48,6,1,48,2|1|1|1|1|2|1|3|1|1|1|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,0,42,0.04,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,1,43,0.02,48,4,1,48,1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,2,44,0.02,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,3,45,0.02,49,4,1,49,1|1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,4,46,0.02,49,4,1,49,1|1|1|1|2|1|1|1|1|2|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,5,47,0.02,48,4,1,48,1|1|1|1|2|1|1|1|1|2|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,6,48,0.02,47,4,1,47,1|1|1|1|2|1|1|1|1|2|1|2,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,7,49,0.02,46,4,1,46,1|1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,8,50,0.02,49,4,1,49,1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,9,51,0.02,49,4,1,49,1|1|1|2|1|1|1|1|2|1|3,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,10,52,0.02,48,4,1,48,1|1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,11,53,0.04,49,4,1,49,1|1|2|1|1|1|1|2|1|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,12,54,0.02,49,4,1,49,1|1|2|1|1|1|1|2|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,13,55,0.04,49,4,1,49,1|1|2|1|1|1|1|2|1|3|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,14,56,0.04,48,4,1,48,1|1|2|1|1|1|1|2|1|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,15,57,0.02,49,5,1,49,1|2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,16,58,0.02,49,4,1,49,1|2|1|1|1|1|1|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,17,59,0.04,49,7,1,49,2|1|1|1|1|2|1|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,18,60,0.04,49,7,1,49,2|1|1|1|1|2|1|3|1|1,hub_localized,1225
fully-connected,50,0.01,0.03,0.0,19,61,0.04,48,6,1,48,2|1|1|1|1|2|1|3|1|1|1,hub_localized,1225
