run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.962,1.0,1.0,21,7,0.909,0.2,5,1,0.2,0.866,0.807,6,6,1.0,0.45,91.667,65,0.453,0.381,0.453,100,0,,330,59,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.956,1.0,1.0,22,7,0.913,0.4,5,2,0.2,0.856,0.806,6,6,1.0,0.414,98.333,70,0.449,0.378,0.449,100,0,,330,61,False,True,0.0,none,0,0,0
3,44,small-world,500,True,True,0.949,1.0,1.0,19,8,0.846,0.0,1,0,0.2,0.859,0.803,6,6,1.0,0.339,90.0,62,0.466,0.407,0.466,100,0,,340,51,False,True,0.0,none,0,0,0
4,45,small-world,500,True,True,0.942,1.0,1.0,16,7,0.906,0.333,3,1,0.2,0.833,0.791,6,6,1.0,0.351,93.333,46,0.503,0.428,0.503,100,0,,350,58,False,True,0.0,none,0,0,0
5,46,small-world,500,True,True,0.945,1.0,1.0,20,8,0.881,0.625,8,5,0.2,0.822,0.768,6,6,1.0,0.407,91.667,55,0.455,0.387,0.455,100,0,,380,58,False,True,0.0,none,0,0,0
