topology,node_count,k_D,k_C,k_T,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.06,50,200,49.0,0.94,0.0,4.44,10.72,49,49|46|47|46|49|48|47|46|45|44|43|42|46|45|39|43|42|41|40|34|38|49|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,49|46|47|46|49|48|47|46|45|44|43|42|46|45|39|43|42|41|40|34|38|49|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,network_wide:50,expands_far
chain,50,0.01,0.02,0.0,0.062,50,200,49.0,0.74,0.0,4.46,13.24,49,47|48|47|46|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|48|47|46|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:14|network_wide:36,expands_far
chain,50,0.01,0.02,0.0,0.064,50,200,49.0,0.34,0.0,4.46,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:5|network_wide:45,expands_far
chain,50,0.01,0.02,0.0,0.066,50,200,49.0,0.38,0.0,4.48,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:5|network_wide:45,expands_far
chain,50,0.01,0.02,0.0,0.068,50,200,49.0,0.38,0.0,4.58,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:5|network_wide:45,expands_far
chain,50,0.01,0.02,0.0,0.07,50,200,49.0,0.52,0.0,4.58,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:7|network_wide:43,expands_far
chain,50,0.01,0.02,0.0,0.072,50,200,49.0,0.52,0.0,4.6,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:7|network_wide:43,expands_far
chain,50,0.01,0.02,0.0,0.074,50,200,49.0,0.34,0.0,4.66,14.48,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:8|network_wide:42,expands_far
chain,50,0.01,0.02,0.0,0.076,50,200,49.0,0.44,0.0,5.16,13.94,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|48|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|48|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:10|network_wide:40,expands_far
chain,50,0.01,0.03,0.0,0.06,50,200,49.0,0.9,0.0,4.4,12.7,49,47|46|49|48|49|48|47|46|45|49|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|49|48|49|48|47|46|45|49|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,network_wide:50,expands_far
chain,50,0.01,0.03,0.0,0.062,50,200,49.0,0.74,0.0,4.42,12.5,49,47|46|45|44|49|48|47|46|45|49|43|42|41|40|39|38|37|36|35|34|38|49|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|49|43|42|41|40|39|38|37|36|35|34|38|49|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:1|network_wide:49,expands_far
chain,50,0.01,0.03,0.0,0.064,50,200,49.0,0.82,0.0,4.44,12.72,49,47|48|47|46|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|48|47|46|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:5|network_wide:45,expands_far
chain,50,0.01,0.03,0.0,0.066,50,200,49.0,0.64,0.0,4.46,13.64,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:1|network_wide:49,expands_far
chain,50,0.01,0.03,0.0,0.068,50,200,49.0,0.64,0.0,4.48,13.64,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:1|network_wide:49,expands_far
chain,50,0.01,0.03,0.0,0.07,50,200,49.0,0.54,0.0,4.5,14.18,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|49|49|48|47|46|45|44|43|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:7|network_wide:43,expands_far
chain,50,0.01,0.03,0.0,0.072,50,200,49.0,0.52,0.0,4.58,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:7|network_wide:43,expands_far
chain,50,0.01,0.03,0.0,0.074,50,200,49.0,0.52,0.0,4.58,14.2,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|49|49|48|47|46|45|44|43|42|49|48|47|46|45|44|43|42|41|40|39|49|48,core_weighted:7|network_wide:43,expands_far
