topology,chain_length,k_D,k_C,k_T,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.03,0.0,0.05,5,47,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,6,48,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,7,49,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,8,50,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,9,51,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,10,52,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,11,53,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,12,54,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,13,55,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,14,56,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,15,57,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,16,58,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,17,59,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,18,60,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.05,19,61,1.0,1.0,49,199,1,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,0,42,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,1,43,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,2,44,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,3,45,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,4,46,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,5,47,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,6,48,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,7,49,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,8,50,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,9,51,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,10,52,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,11,53,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,12,54,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,13,55,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,14,56,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,15,57,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,16,58,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,17,59,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,18,60,1.0,1.0,49,200,0,1,49,,network_wide,49
chain,50,0.01,0.03,0.0,0.1,19,61,1.0,1.0,49,200,0,1,49,,network_wide,49
star,50,0.01,0.02,0.0,0.05,0,42,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,1,43,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,2,44,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,3,45,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,4,46,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,5,47,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,6,48,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,7,49,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,8,50,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,9,51,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,10,52,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,11,53,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,12,54,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,13,55,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,14,56,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,15,57,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,16,58,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,17,59,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,18,60,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.05,19,61,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,0,42,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,1,43,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,2,44,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,3,45,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,4,46,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,5,47,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,6,48,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,7,49,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,8,50,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,9,51,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,10,52,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,11,53,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,12,54,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,13,55,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,14,56,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,15,57,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,16,58,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,17,59,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,18,60,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.02,0.0,0.1,19,61,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,0,42,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,1,43,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,2,44,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,3,45,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,4,46,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,5,47,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,6,48,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,7,49,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,8,50,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,9,51,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,10,52,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,11,53,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,12,54,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,13,55,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,14,56,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,15,57,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,16,58,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,17,59,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,18,60,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.05,19,61,1.0,1.0,49,199,1,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,0,42,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,1,43,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,2,44,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,3,45,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,4,46,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,5,47,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,6,48,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,7,49,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,8,50,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,9,51,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,10,52,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,11,53,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,12,54,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,13,55,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,14,56,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,15,57,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,16,58,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,17,59,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,18,60,1.0,1.0,49,200,0,1,49,,hub_localized,49
star,50,0.01,0.03,0.0,0.1,19,61,1.0,1.0,49,200,0,1,49,,hub_localized,49
random-sparse,50,0.01,0.02,0.0,0.05,0,42,1.0,1.0,49,200,0,1,49,,network_wide,111
random-sparse,50,0.01,0.02,0.0,0.05,1,43,1.0,1.0,49,200,0,1,49,,network_wide,125
random-sparse,50,0.01,0.02,0.0,0.05,2,44,1.0,1.0,49,200,0,1,49,,network_wide,133
random-sparse,50,0.01,0.02,0.0,0.05,3,45,1.0,1.0,49,200,0,1,49,,network_wide,120
random-sparse,50,0.01,0.02,0.0,0.05,4,46,1.0,1.0,49,199,1,1,49,,network_wide,123
random-sparse,50,0.01,0.02,0.0,0.05,5,47,1.0,1.0,49,199,1,1,49,,network_wide,125
random-sparse,50,0.01,0.02,0.0,0.05,6,48,1.0,1.0,49,199,1,1,49,,network_wide,111
random-sparse,50,0.01,0.02,0.0,0.05,7,49,1.0,1.0,49,199,1,1,49,,network_wide,116
random-sparse,50,0.01,0.02,0.0,0.05,8,50,1.0,1.0,49,199,1,1,49,,network_wide,110
random-sparse,50,0.01,0.02,0.0,0.05,9,51,1.0,1.0,49,199,1,1,49,,network_wide,132
random-sparse,50,0.01,0.02,0.0,0.05,10,52,1.0,1.0,49,200,0,1,49,,network_wide,127
random-sparse,50,0.01,0.02,0.0,0.05,11,53,1.0,1.0,49,200,0,1,49,,network_wide,114
random-sparse,50,0.01,0.02,0.0,0.05,12,54,1.0,1.0,49,199,1,1,49,,network_wide,128
random-sparse,50,0.01,0.02,0.0,0.05,13,55,1.0,1.0,49,200,0,1,49,,network_wide,116
random-sparse,50,0.01,0.02,0.0,0.05,14,56,1.0,1.0,49,199,1,1,49,,network_wide,114
random-sparse,50,0.01,0.02,0.0,0.05,15,57,1.0,1.0,49,199,1,1,49,,network_wide,119
random-sparse,50,0.01,0.02,0.0,0.05,16,58,1.0,1.0,49,199,1,1,49,,network_wide,98
random-sparse,50,0.01,0.02,0.0,0.05,17,59,1.0,1.0,49,199,1,1,49,,network_wide,120
random-sparse,50,0.01,0.02,0.0,0.05,18,60,1.0,1.0,49,199,1,1,49,,network_wide,106
random-sparse,50,0.01,0.02,0.0,0.05,19,61,1.0,1.0,49,199,1,1,49,,network_wide,110
random-sparse,50,0.01,0.02,0.0,0.1,0,42,1.0,1.0,49,200,0,1,49,,network_wide,111
random-sparse,50,0.01,0.02,0.0,0.1,1,43,1.0,1.0,49,200,0,1,49,,network_wide,125
random-sparse,50,0.01,0.02,0.0,0.1,2,44,1.0,1.0,49,200,0,1,49,,network_wide,133
random-sparse,50,0.01,0.02,0.0,0.1,3,45,1.0,1.0,49,200,0,1,49,,network_wide,120
random-sparse,50,0.01,0.02,0.0,0.1,4,46,1.0,1.0,49,200,0,1,49,,network_wide,123
random-sparse,50,0.01,0.02,0.0,0.1,5,47,1.0,1.0,49,200,0,1,49,,network_wide,125
random-sparse,50,0.01,0.02,0.0,0.1,6,48,1.0,1.0,49,200,0,1,49,,network_wide,111
random-sparse,50,0.01,0.02,0.0,0.1,7,49,1.0,1.0,49,200,0,1,49,,network_wide,116
random-sparse,50,0.01,0.02,0.0,0.1,8,50,1.0,1.0,49,200,0,1,49,,network_wide,110
random-sparse,50,0.01,0.02,0.0,0.1,9,51,1.0,1.0,49,200,0,1,49,,network_wide,132
random-sparse,50,0.01,0.02,0.0,0.1,10,52,1.0,1.0,49,200,0,1,49,,network_wide,127
random-sparse,50,0.01,0.02,0.0,0.1,11,53,1.0,1.0,49,200,0,1,49,,network_wide,114
random-sparse,50,0.01,0.02,0.0,0.1,12,54,1.0,1.0,49,200,0,1,49,,network_wide,128
random-sparse,50,0.01,0.02,0.0,0.1,13,55,1.0,1.0,49,200,0,1,49,,network_wide,116
random-sparse,50,0.01,0.02,0.0,0.1,14,56,1.0,1.0,49,200,0,1,49,,network_wide,114
random-sparse,50,0.01,0.02,0.0,0.1,15,57,1.0,1.0,49,200,0,1,49,,network_wide,119
random-sparse,50,0.01,0.02,0.0,0.1,16,58,1.0,1.0,49,200,0,1,49,,network_wide,98
random-sparse,50,0.01,0.02,0.0,0.1,17,59,1.0,1.0,49,200,0,1,49,,network_wide,120
random-sparse,50,0.01,0.02,0.0,0.1,18,60,1.0,1.0,49,200,0,1,49,,network_wide,106
random-sparse,50,0.01,0.02,0.0,0.1,19,61,1.0,1.0,49,200,0,1,49,,network_wide,110
random-sparse,50,0.01,0.03,0.0,0.05,0,42,1.0,1.0,49,200,0,1,49,,network_wide,111
random-sparse,50,0.01,0.03,0.0,0.05,1,43,1.0,1.0,49,200,0,1,49,,network_wide,125
random-sparse,50,0.01,0.03,0.0,0.05,2,44,1.0,1.0,49,200,0,1,49,,network_wide,133
random-sparse,50,0.01,0.03,0.0,0.05,3,45,1.0,1.0,49,200,0,1,49,,network_wide,120
random-sparse,50,0.01,0.03,0.0,0.05,4,46,1.0,1.0,49,199,1,1,49,,network_wide,123
random-sparse,50,0.01,0.03,0.0,0.05,5,47,1.0,1.0,49,199,1,1,49,,network_wide,125
random-sparse,50,0.01,0.03,0.0,0.05,6,48,1.0,1.0,49,199,1,1,49,,network_wide,111
random-sparse,50,0.01,0.03,0.0,0.05,7,49,1.0,1.0,49,199,1,1,49,,network_wide,116
random-sparse,50,0.01,0.03,0.0,0.05,8,50,1.0,1.0,49,199,1,1,49,,network_wide,110
random-sparse,50,0.01,0.03,0.0,0.05,9,51,1.0,1.0,49,199,1,1,49,,network_wide,132
random-sparse,50,0.01,0.03,0.0,0.05,10,52,1.0,1.0,49,200,0,1,49,,network_wide,127
random-sparse,50,0.01,0.03,0.0,0.05,11,53,1.0,1.0,49,200,0,1,49,,network_wide,114
random-sparse,50,0.01,0.03,0.0,0.05,12,54,1.0,1.0,49,199,1,1,49,,network_wide,128
random-sparse,50,0.01,0.03,0.0,0.05,13,55,1.0,1.0,49,200,0,1,49,,network_wide,116
random-sparse,50,0.01,0.03,0.0,0.05,14,56,1.0,1.0,49,199,1,1,49,,network_wide,114
random-sparse,50,0.01,0.03,0.0,0.05,15,57,1.0,1.0,49,199,1,1,49,,network_wide,119
random-sparse,50,0.01,0.03,0.0,0.05,16,58,1.0,1.0,49,199,1,1,49,,network_wide,98
random-sparse,50,0.01,0.03,0.0,0.05,17,59,1.0,1.0,49,199,1,1,49,,network_wide,120
random-sparse,50,0.01,0.03,0.0,0.05,18,60,1.0,1.0,49,199,1,1,49,,network_wide,106
random-sparse,50,0.01,0.03,0.0,0.05,19,61,1.0,1.0,49,199,1,1,49,,network_wide,110
random-sparse,50,0.01,0.03,0.0,0.1,0,42,1.0,1.0,49,200,0,1,49,,network_wide,111
random-sparse,50,0.01,0.03,0.0,0.1,1,43,1.0,1.0,49,200,0,1,49,,network_wide,125
random-sparse,50,0.01,0.03,0.0,0.1,2,44,1.0,1.0,49,200,0,1,49,,network_wide,133
random-sparse,50,0.01,0.03,0.0,0.1,3,45,1.0,1.0,49,200,0,1,49,,network_wide,120
random-sparse,50,0.01,0.03,0.0,0.1,4,46,1.0,1.0,49,200,0,1,49,,network_wide,123
random-sparse,50,0.01,0.03,0.0,0.1,5,47,1.0,1.0,49,200,0,1,49,,network_wide,125
random-sparse,50,0.01,0.03,0.0,0.1,6,48,1.0,1.0,49,200,0,1,49,,network_wide,111
random-sparse,50,0.01,0.03,0.0,0.1,7,49,1.0,1.0,49,200,0,1,49,,network_wide,116
random-sparse,50,0.01,0.03,0.0,0.1,8,50,1.0,1.0,49,200,0,1,49,,network_wide,110
random-sparse,50,0.01,0.03,0.0,0.1,9,51,1.0,1.0,49,200,0,1,49,,network_wide,132
random-sparse,50,0.01,0.03,0.0,0.1,10,52,1.0,1.0,49,200,0,1,49,,network_wide,127
random-sparse,50,0.01,0.03,0.0,0.1,11,53,1.0,1.0,49,200,0,1,49,,network_wide,114
random-sparse,50,0.01,0.03,0.0,0.1,12,54,1.0,1.0,49,200,0,1,49,,network_wide,128
random-sparse,50,0.01,0.03,0.0,0.1,13,55,1.0,1.0,49,200,0,1,49,,network_wide,116
random-sparse,50,0.01,0.03,0.0,0.1,14,56,1.0,1.0,49,200,0,1,49,,network_wide,114
random-sparse,50,0.01,0.03,0.0,0.1,15,57,1.0,1.0,49,200,0,1,49,,network_wide,119
random-sparse,50,0.01,0.03,0.0,0.1,16,58,1.0,1.0,49,200,0,1,49,,network_wide,98
random-sparse,50,0.01,0.03,0.0,0.1,17,59,1.0,1.0,49,200,0,1,49,,network_wide,120
random-sparse,50,0.01,0.03,0.0,0.1,18,60,1.0,1.0,49,200,0,1,49,,network_wide,106
random-sparse,50,0.01,0.03,0.0,0.1,19,61,1.0,1.0,49,200,0,1,49,,network_wide,110
fully-connected,50,0.01,0.02,0.0,0.05,0,42,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,1,43,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,2,44,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,3,45,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,4,46,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,5,47,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,6,48,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,7,49,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,8,50,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,9,51,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,10,52,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,11,53,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,12,54,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,13,55,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,14,56,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,15,57,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,16,58,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,17,59,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,18,60,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.05,19,61,1.0,1.0,49,199,1,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.1,0,42,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.1,1,43,1.0,1.0,49,200,0,1,49,,hub_localized,1225
fully-connected,50,0.01,0.02,0.0,0.1,2,44,1.0,1.0,49,200,0,1,49,,hub_localized,1225
