batch_id,scenario,scenario_family,profile,run_index,seed,topology_initial,topology_final_detected,steps,a,b,c,lambda_damping,alpha_cognition,mu_cognition,k_D,k_C,k_T,k_b,break_condition_margin,f_min,kappa_min_protected,psi_lambda,psi_weight_profile,psi_threshold,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime,message_loss,final_T_mean,final_T_min,final_D_mean,final_C_mean,final_I_mean,final_S_network,final_G_formal,final_G_effective,collapse_share_peak,sustained_ignition,ignition_onset_step,trigger_A_count,trigger_A_first_step,trigger_A_source,collapse30_event_first_step,collapse40_event_first_step,cluster35_event_first_step,t_mean30_event_first_step,s_network35_event_first_step,trigger_A_lead_to_collapse30,trigger_A_lead_to_collapse40,trigger_A_lead_to_cluster35,trigger_A_lead_to_t_mean30,trigger_A_lead_to_s_network35,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,trigger_B_count,trigger_B_first_step,trigger_C_count,trigger_D_count,false_stability_steps,async_false_stability_steps,final_hub1_S,final_hub2_S,final_hub3_S,min_hub1_S,min_hub2_S,min_hub3_S,external_intervention_count,resource_exhaustion_step,max_unmet_recovery_demand,reclassification_latency_steps,star_adjacency_persist_steps
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,2,9332,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.676843,0.03,0.093433,0.0,0.814646,0.392287,0.977144,0.977144,0.333333,0,,69,79,C07_PSI_EXTENDED,97,,81,,82,18,,2,,3,1,0,0,,0,0,0,0,,,,,,,0,129,0.003179,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,3,9333,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.677041,0.03,0.093127,0.0,0.813732,0.395739,0.963622,0.963622,0.333333,0,,72,79,C07_PSI_EXTENDED,98,,81,,82,19,,2,,3,1,0,0,,0,0,0,0,,,,,,,0,127,0.003157,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,4,9334,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.676714,0.03,0.099372,0.0,0.814376,0.391252,0.983206,0.983206,0.333333,0,,74,78,C07_PSI_EXTENDED,98,,79,,81,20,,1,,3,1,0,0,,0,0,0,0,,,,,,,0,119,0.00322,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,5,9335,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.676973,0.03,0.096947,0.0,0.814635,0.394889,0.981834,0.981834,0.333333,0,,71,79,C07_PSI_EXTENDED,98,,81,,82,19,,2,,3,1,0,0,,0,0,0,0,,,,,,,0,120,0.0032,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,6,9336,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.676737,0.03,0.095547,0.0,0.814101,0.395344,0.974535,0.974535,0.333333,0,,71,79,C07_PSI_EXTENDED,98,,80,,81,19,,1,,2,1,0,0,,0,0,0,0,,,,,,,0,126,0.003221,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,7,9337,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.67709,0.03,0.096633,0.0,0.814619,0.391285,0.981635,0.981635,0.333333,0,,70,79,C07_PSI_EXTENDED,97,,81,,82,18,,2,,3,1,0,0,,0,0,0,0,,,,,,,0,126,0.003202,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,8,9338,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.676773,0.03,0.108808,0.0,0.814658,0.387311,1.0,1.0,0.333333,0,,73,80,C07_PSI_EXTENDED,95,,81,,82,15,,1,,2,1,0,0,,0,0,0,0,,,,,,,0,127,0.003229,,0
grand_sim_v0_5,federation_cluster_attack,federation,low_stress,9,9339,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.03,0.676838,0.03,0.098105,0.0,0.814899,0.392426,0.98179,0.98179,0.333333,0,,73,78,C07_PSI_EXTENDED,93,,80,,81,15,,2,,3,1,0,0,,0,0,0,0,,,,,,,0,119,0.003142,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,0,9340,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.104207,0.0,0.787314,0.374478,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,67,,55,,57,12,,0,,2,1,0,0,,0,0,0,0,,,,,,,0,76,0.002703,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,1,9341,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.11008,0.0,0.783469,0.371265,1.0,1.0,0.333333,0,,104,56,C07_PSI_EXTENDED,66,,56,,57,10,,0,,1,1,0,0,,0,0,0,0,,,,,,,0,80,0.002586,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,2,9342,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.10581,0.0,0.785299,0.372794,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,62,,55,,57,7,,0,,2,1,0,0,,0,0,0,0,,,,,,,0,78,0.002647,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,3,9343,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.106151,0.0,0.785457,0.370814,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,61,,55,,56,6,,0,,1,1,0,0,,0,0,0,0,,,,,,,0,74,0.002851,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,4,9344,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.106087,0.0,0.785995,0.374201,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,65,,55,,57,10,,0,,2,1,0,0,,0,0,0,0,,,,,,,0,74,0.003019,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,5,9345,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.10513,0.0,0.786484,0.372584,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,65,,55,,56,10,,0,,1,1,0,0,,0,0,0,0,,,,,,,0,78,0.002607,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,6,9346,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.103277,0.0,0.785111,0.372325,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,67,,55,,57,12,,0,,2,1,0,0,,0,0,0,0,,,,,,,0,79,0.002574,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,7,9347,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.103894,0.0,0.786151,0.371848,1.0,1.0,0.333333,0,,105,55,C07_PSI_EXTENDED,66,,55,,57,11,,0,,2,1,0,0,,0,0,0,0,,,,,,,0,77,0.002654,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,8,9348,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.106454,0.0,0.785514,0.369422,1.0,1.0,0.333333,0,,104,56,C07_PSI_EXTENDED,66,,56,,57,10,,0,,1,1,0,0,,0,0,0,0,,,,,,,0,85,0.002623,,0
grand_sim_v0_5,federation_cluster_attack,federation,mid_stress,9,9349,federation,federation,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,stability_heavy_no_regime,0.3,0.2,0.2,0.15,0.35,0.0,0.06,0.676667,0.03,0.113154,0.0,0.783954,0.368629,1.0,1.0,0.333333,0,,100,60,C07_PSI_EXTENDED,67,,62,,62,7,,2,,2,1,0,0,,0,0,0,0,,,,,,,0,104,0.002603,,0
