run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.503,1.0,1.0,55,56,0.103,0.567,30,17,0.05,0.367,0.395,6,6,1.0,90.0,125,0.157,0.128,0.157,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,False,False,0.47,1.0,1.0,49,50,0.235,0.788,33,26,0.05,0.334,0.38,6,6,1.0,90.0,116,0.155,0.123,0.155,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,False,False,0.38,1.0,1.0,59,59,0.134,0.676,34,23,0.05,0.272,0.345,6,6,1.0,90.0,127,0.125,0.104,0.125,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.603,1.0,1.0,48,49,0.242,0.75,28,21,0.05,0.453,0.447,6,6,1.0,90.0,116,0.18,0.146,0.18,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.624,1.0,1.0,52,52,0.243,0.64,25,16,0.05,0.462,0.442,6,6,1.0,93.333,116,0.208,0.167,0.208,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.507,1.0,1.0,51,52,0.138,0.706,34,24,0.05,0.356,0.395,6,6,1.0,90.0,121,0.164,0.128,0.164,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,False,False,0.487,1.0,1.0,45,46,0.258,0.375,32,12,0.05,0.331,0.378,6,6,1.0,90.0,111,0.182,0.146,0.182,100,0,,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.876,1.0,1.0,53,53,0.221,0.4,20,8,0.05,0.708,0.605,6,6,1.0,90.0,118,0.202,0.166,0.202,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.682,1.0,1.0,51,52,0.209,0.7,30,21,0.05,0.561,0.523,6,6,1.0,90.0,114,0.175,0.134,0.175,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,False,False,0.462,1.0,1.0,56,56,0.103,0.778,36,28,0.05,0.334,0.381,6,6,1.0,90.0,127,0.164,0.129,0.164,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.828,1.0,1.0,36,36,0.439,0.7,20,14,0.05,0.629,0.551,6,6,1.0,90.0,103,0.262,0.184,0.262,100,0,,False,True,0.0,none,0,0,0
12,53,scale-free,500,True,True,0.72,1.0,1.0,52,52,0.209,0.667,30,20,0.05,0.568,0.526,6,6,1.0,90.0,123,0.186,0.145,0.186,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.805,1.0,1.0,42,43,0.344,0.739,23,17,0.05,0.63,0.555,6,6,1.0,90.0,110,0.237,0.184,0.237,100,0,,False,True,0.0,none,0,0,0
14,55,scale-free,500,False,False,0.463,1.0,1.0,53,54,0.197,0.618,34,21,0.05,0.379,0.419,6,6,1.0,90.0,120,0.153,0.119,0.153,100,0,,False,True,0.0,none,0,0,0
15,56,scale-free,500,True,True,0.693,1.0,1.0,54,55,0.123,0.625,24,15,0.05,0.529,0.484,6,6,1.0,90.0,118,0.168,0.145,0.168,100,0,,False,True,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.593,1.0,1.0,52,53,0.224,0.778,27,21,0.05,0.485,0.482,6,6,1.0,90.0,119,0.17,0.14,0.17,100,0,,False,True,0.0,none,0,0,0
17,58,scale-free,500,True,True,0.515,1.0,1.0,46,46,0.318,0.677,31,21,0.05,0.371,0.396,6,6,1.0,90.0,114,0.189,0.149,0.189,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,True,True,0.816,1.0,1.0,41,40,0.385,0.696,23,16,0.05,0.64,0.558,6,6,1.0,90.0,104,0.209,0.152,0.209,100,0,,False,True,0.0,none,0,0,0
19,60,scale-free,500,True,True,0.864,1.0,1.0,37,37,0.375,0.429,14,6,0.05,0.659,0.565,6,6,1.0,90.0,106,0.296,0.22,0.296,100,0,,False,True,0.0,none,0,0,0
20,61,scale-free,500,True,True,0.518,1.0,1.0,54,53,0.197,0.879,33,29,0.05,0.388,0.416,6,6,1.0,90.0,122,0.148,0.11,0.148,100,0,,False,True,0.0,none,0,0,0
21,62,scale-free,500,True,True,0.606,1.0,1.0,47,47,0.25,0.586,29,17,0.05,0.461,0.453,6,6,1.0,90.0,117,0.188,0.148,0.188,100,0,,False,True,0.0,none,0,0,0
22,63,scale-free,500,False,False,0.292,1.0,1.0,57,58,0.103,0.714,42,30,0.05,0.17,0.251,6,6,1.0,90.0,126,0.104,0.091,0.104,100,0,,False,True,0.0,none,0,0,0
23,64,scale-free,500,True,True,0.706,1.0,1.0,50,51,0.224,0.654,26,17,0.05,0.55,0.515,6,6,1.0,90.0,118,0.181,0.147,0.181,100,0,,False,True,0.0,none,0,0,0
24,65,scale-free,500,True,True,0.785,1.0,1.0,57,58,0.09,0.591,22,13,0.05,0.627,0.556,6,6,1.0,90.0,124,0.162,0.104,0.162,100,0,,False,True,0.0,none,0,0,0
25,66,scale-free,500,True,True,0.773,1.0,1.0,49,49,0.284,0.55,20,11,0.05,0.606,0.539,6,6,1.0,90.0,118,0.186,0.148,0.186,100,0,,False,True,0.0,none,0,0,0
26,67,scale-free,500,True,True,0.706,1.0,1.0,37,38,0.431,0.636,22,14,0.05,0.546,0.512,6,6,1.0,90.0,96,0.249,0.198,0.249,100,0,,False,True,0.0,none,0,0,0
27,68,scale-free,500,True,True,0.517,1.0,1.0,45,46,0.303,0.655,29,19,0.05,0.396,0.421,6,6,1.0,90.0,113,0.198,0.156,0.198,100,0,,False,True,0.0,none,0,0,0
28,69,scale-free,500,False,False,0.486,1.0,1.0,57,57,0.091,0.719,32,23,0.05,0.361,0.389,6,6,1.0,90.0,126,0.135,0.118,0.135,100,0,,False,True,0.0,none,0,0,0
29,70,scale-free,500,True,True,0.743,1.0,1.0,45,46,0.206,0.7,30,21,0.05,0.591,0.546,6,6,1.0,90.0,110,0.21,0.17,0.21,100,0,,False,True,0.0,none,0,0,0
30,71,scale-free,500,True,True,0.67,1.0,1.0,59,59,0.104,0.607,28,17,0.05,0.532,0.506,6,6,1.0,90.0,128,0.156,0.124,0.156,100,0,,False,True,0.0,none,0,0,0
31,72,scale-free,500,True,True,0.811,1.0,1.0,46,47,0.197,0.571,21,12,0.05,0.64,0.552,6,6,1.0,90.0,115,0.217,0.16,0.217,100,0,,False,True,0.0,none,0,0,0
32,73,scale-free,500,True,True,0.611,1.0,1.0,51,51,0.186,0.6,25,15,0.05,0.44,0.424,6,6,1.0,90.0,118,0.179,0.139,0.179,100,0,,False,True,0.0,none,0,0,0
33,74,scale-free,500,True,True,0.734,1.0,1.0,54,55,0.164,0.565,23,13,0.05,0.611,0.547,6,6,1.0,90.0,123,0.171,0.132,0.171,100,0,,False,True,0.0,none,0,0,0
34,75,scale-free,500,True,True,0.749,1.0,1.0,45,45,0.284,0.545,22,12,0.05,0.605,0.549,6,6,1.0,90.0,109,0.247,0.195,0.247,100,0,,False,True,0.0,none,0,0,0
35,76,scale-free,500,True,True,0.666,1.0,1.0,48,49,0.159,0.542,24,13,0.05,0.508,0.473,6,6,1.0,105.0,116,0.206,0.165,0.206,100,0,,False,True,0.0,none,0,0,0
36,77,scale-free,500,True,True,0.576,1.0,1.0,61,62,0.072,0.815,27,22,0.05,0.426,0.425,6,6,1.0,90.0,131,0.141,0.115,0.141,100,0,,False,True,0.0,none,0,0,0
37,78,scale-free,500,True,True,0.856,1.0,1.0,38,39,0.418,0.412,17,7,0.05,0.641,0.555,6,6,1.0,90.0,101,0.239,0.172,0.239,100,0,,False,True,0.0,none,0,0,0
38,79,scale-free,500,False,False,0.334,1.0,1.0,61,61,0.103,0.698,43,30,0.05,0.218,0.31,6,6,1.0,103.333,134,0.106,0.11,0.106,100,0,,False,True,0.0,none,0,0,0
39,80,scale-free,500,True,True,0.532,1.0,1.0,46,47,0.303,0.694,36,25,0.05,0.417,0.43,6,6,1.0,90.0,112,0.158,0.131,0.158,100,0,,False,True,0.0,none,0,0,0
40,81,scale-free,500,True,True,0.78,1.0,1.0,53,53,0.119,0.6,20,12,0.05,0.599,0.535,6,6,1.0,90.0,121,0.172,0.125,0.172,100,0,,False,True,0.0,none,0,0,0
41,82,scale-free,500,True,True,0.777,1.0,1.0,49,50,0.091,0.72,25,18,0.05,0.61,0.547,6,6,1.0,90.0,120,0.223,0.157,0.223,100,0,,False,True,0.0,none,0,0,0
42,83,scale-free,500,True,True,0.85,1.0,1.0,51,52,0.212,0.571,21,12,0.05,0.69,0.599,6,6,1.0,90.0,116,0.197,0.148,0.197,100,0,,False,True,0.0,none,0,0,0
43,84,scale-free,500,True,True,0.702,1.0,1.0,51,52,0.191,0.542,24,13,0.05,0.562,0.509,6,6,1.0,90.0,114,0.191,0.152,0.191,100,0,,False,True,0.0,none,0,0,0
44,85,scale-free,500,True,True,0.764,1.0,1.0,51,51,0.136,0.52,25,13,0.05,0.588,0.516,6,6,1.0,90.0,122,0.195,0.15,0.195,100,0,,False,True,0.0,none,0,0,0
45,86,scale-free,500,True,True,0.523,1.0,1.0,56,56,0.167,0.828,29,24,0.05,0.397,0.412,6,6,1.0,90.0,124,0.165,0.137,0.165,100,0,,False,True,0.0,none,0,0,0
46,87,scale-free,500,True,True,0.893,1.0,1.0,45,46,0.118,0.429,14,6,0.05,0.671,0.567,6,6,1.0,90.0,114,0.272,0.197,0.272,100,0,,False,True,0.0,none,0,0,0
47,88,scale-free,500,False,False,0.372,1.0,1.0,54,55,0.147,0.711,38,27,0.05,0.245,0.32,6,6,1.0,90.0,121,0.147,0.105,0.147,100,0,,False,True,0.0,none,0,0,0
48,89,scale-free,500,True,True,0.596,1.0,1.0,55,56,0.104,0.586,29,17,0.05,0.442,0.437,6,6,1.0,90.0,125,0.165,0.138,0.165,100,0,,False,True,0.0,none,0,0,0
49,90,scale-free,500,True,True,0.766,1.0,1.0,41,41,0.403,0.577,26,15,0.05,0.623,0.564,6,6,1.0,90.0,102,0.261,0.203,0.261,100,0,,False,True,0.0,none,0,0,0
