run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,False,False,0.107,1.0,1.0,0,1,1.0,0.912,57,52,0.0,0.0,0.0,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,False,False,0.057,1.0,1.0,0,1,1.0,0.889,63,56,0.0,0.0,0.0,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,False,False,0.081,1.0,1.0,0,1,1.0,0.867,60,52,0.0,0.01,0.01,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,False,False,0.088,1.0,1.0,0,1,1.0,0.949,59,56,0.0,0.0,0.0,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,False,False,0.084,1.0,1.0,0,1,1.0,0.881,59,52,0.0,0.0,0.0,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,False,False,0.081,1.0,1.0,0,1,1.0,0.869,61,53,0.0,0.002,0.0,6,0.002,0.0,0.002,100,0,,False,True,0.0,none,0,0,0
7,48,random,500,False,False,0.105,1.0,1.0,0,1,1.0,0.931,58,54,0.0,0.0,0.0,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
8,49,random,500,False,False,0.057,1.0,1.0,0,1,1.0,0.921,63,58,0.0,0.004,0.001,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,False,False,0.064,1.0,1.0,0,1,1.0,0.921,63,58,0.0,0.005,0.001,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,False,False,0.1,1.0,1.0,0,1,1.0,0.946,56,53,0.0,0.0,0.0,6,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
